category,keyword
TRANSPARENCY,transparen
TRANSPARENCY,explain
TRANSPARENCY,interpretab
TRANSPARENCY,disclos
TRANSPARENCY,notice
TRANSPARENCY,documentation
TRANSPARENCY,透明
TRANSPARENCY,解释
TRANSPARENCY,披露
TRANSPARENCY,告知
TRANSPARENCY,说明
TRANSPARENCY,公开
OVERSIGHT_AUDIT,audit
OVERSIGHT_AUDIT,oversight
OVERSIGHT_AUDIT,governance
OVERSIGHT_AUDIT,monitor
OVERSIGHT_AUDIT,evaluation
OVERSIGHT_AUDIT,assess
OVERSIGHT_AUDIT,review
OVERSIGHT_AUDIT,监督
OVERSIGHT_AUDIT,审计
OVERSIGHT_AUDIT,治理
OVERSIGHT_AUDIT,监测
OVERSIGHT_AUDIT,评估
OVERSIGHT_AUDIT,审查
OVERSIGHT_AUDIT,检查
ACCOUNTABILITY_LIABILITY,accountab
ACCOUNTABILITY_LIABILITY,responsib
ACCOUNTABILITY_LIABILITY,liabil
ACCOUNTABILITY_LIABILITY,enforcement
ACCOUNTABILITY_LIABILITY,penalt
ACCOUNTABILITY_LIABILITY,compliance
ACCOUNTABILITY_LIABILITY,责任
ACCOUNTABILITY_LIABILITY,追责
ACCOUNTABILITY_LIABILITY,处罚
ACCOUNTABILITY_LIABILITY,罚款
ACCOUNTABILITY_LIABILITY,合规
ACCOUNTABILITY_LIABILITY,问责
PUBLIC_PARTICIPATION,public
PUBLIC_PARTICIPATION,stakeholder
PUBLIC_PARTICIPATION,consult
PUBLIC_PARTICIPATION,engage
PUBLIC_PARTICIPATION,participat
PUBLIC_PARTICIPATION,comment
PUBLIC_PARTICIPATION,公众
PUBLIC_PARTICIPATION,社会监督
PUBLIC_PARTICIPATION,征求意见
PUBLIC_PARTICIPATION,参与
PUBLIC_PARTICIPATION,意见反馈
PUBLIC_PARTICIPATION,评论
PUBLIC_PARTICIPATION,投诉举报
APPEALS_REMEDY,appeal
APPEALS_REMEDY,complaint
APPEALS_REMEDY,redress
APPEALS_REMEDY,remedy
APPEALS_REMEDY,grievance
APPEALS_REMEDY,recourse
APPEALS_REMEDY,申诉
APPEALS_REMEDY,投诉
APPEALS_REMEDY,救济
APPEALS_REMEDY,纠错
APPEALS_REMEDY,异议
APPEALS_REMEDY,复议
APPEALS_REMEDY,举报
